cid,rev_ttl,rcy,freq,sess_cnt,cat_cnt,basket_avg
773,149.6,707,4,13,4,1.6
774,38.47,541,3,11,3,3.1
775,16.18,264,1,6,5,4.9
776,99.81,821,4,9,4,2.0
777,95.86,50,4,5,4,1.8
778,19.24,561,2,1,4,4.4
779,647.06,213,5,4,2,2.5
780,16.29,143,3,8,7,3.0
781,9.65,491,5,5,1,3.2
782,17.22,486,4,7,3,3.3
783,226.06,789,5,1,1,4.2
784,45.79,587,4,13,2,2.6
785,37.64,591,3,8,1,3.0
786,51.31,464,4,13,4,1.3
787,30.07,546,4,5,4,4.5
788,27.38,525,5,9,3,3.7
789,28.75,28,3,3,3,2.3
790,110.83,585,4,13,4,1.7
791,151.48,448,1,11,6,3.1
792,19.01,783,2,13,3,1.7
793,69.35,297,1,13,3,2.5
794,120.09,498,3,4,2,3.2
795,18.51,312,2,12,4,3.0
796,33.03,543,4,4,4,3.2
797,19.34,863,5,2,1,5.0
798,15.01,276,2,7,3,1.9
799,60.45,147,3,13,6,2.8
